,time,activep
0,2022-02-10 23:59:05,10.8
1,2022-02-10 23:58:04,10.8
2,2022-02-10 23:57:02,10.8
3,2022-02-10 23:56:01,10.8
4,2022-02-10 23:55:00,10.8
5,2022-02-10 23:53:58,10.8
6,2022-02-10 23:52:57,10.8
7,2022-02-10 23:51:55,10.8
8,2022-02-10 23:50:54,10.8
9,2022-02-10 23:49:53,10.2
10,2022-02-10 23:48:51,10.2
11,2022-02-10 23:47:50,9.9
12,2022-02-10 23:46:48,10.1
13,2022-02-10 23:45:47,8.0
14,2022-02-10 23:44:45,8.9
15,2022-02-10 23:43:44,9.2
16,2022-02-10 23:42:43,7.1
17,2022-02-10 23:41:41,7.1
18,2022-02-10 23:40:40,7.1
19,2022-02-10 23:39:38,9.1
20,2022-02-10 23:38:37,7.6
21,2022-02-10 23:37:36,6.8
22,2022-02-10 23:36:34,6.7
23,2022-02-10 23:35:33,6.6
24,2022-02-10 23:34:31,6.7
25,2022-02-10 23:33:30,7.5
26,2022-02-10 23:32:28,8.2
27,2022-02-10 23:31:27,8.2
28,2022-02-10 23:30:26,7.5
29,2022-02-10 23:29:24,6.8
30,2022-02-10 23:28:23,6.7
31,2022-02-10 23:27:21,6.8
32,2022-02-10 23:26:20,7.6
33,2022-02-10 23:25:19,7.5
34,2022-02-10 23:24:17,7.6
35,2022-02-10 23:23:13,7.6
36,2022-02-10 23:22:12,9.3
37,2022-02-10 23:21:10,9.2
38,2022-02-10 23:20:09,7.5
39,2022-02-10 23:19:05,7.5
40,2022-02-10 23:18:04,7.5
41,2022-02-10 23:17:02,7.5
42,2022-02-10 23:16:01,7.6
43,2022-02-10 23:14:59,7.5
44,2022-02-10 23:13:58,7.5
45,2022-02-10 23:12:57,7.8
46,2022-02-10 23:11:55,10.7
47,2022-02-10 23:10:54,10.7
48,2022-02-10 23:09:52,10.6
49,2022-02-10 23:08:51,10.6
50,2022-02-10 23:07:49,10.6
51,2022-02-10 23:06:48,10.6
52,2022-02-10 23:05:47,10.6
53,2022-02-10 23:04:45,10.4
54,2022-02-10 23:03:44,10.4
55,2022-02-10 23:02:42,10.8
56,2022-02-10 23:01:41,9.5
57,2022-02-10 23:00:40,9.3
58,2022-02-10 22:59:38,8.7
59,2022-02-10 22:58:37,8.7
60,2022-02-10 22:57:35,8.8
61,2022-02-10 22:56:34,9.1
62,2022-02-10 22:55:33,10.1
63,2022-02-10 22:54:31,9.7
64,2022-02-10 22:53:30,9.0
65,2022-02-10 22:52:28,9.1
66,2022-02-10 22:51:27,10.2
67,2022-02-10 22:50:25,10.3
68,2022-02-10 22:49:22,10.9
69,2022-02-10 22:48:20,10.9
70,2022-02-10 22:47:19,10.2
71,2022-02-10 22:46:17,10.3
72,2022-02-10 22:45:16,9.1
73,2022-02-10 22:44:14,9.1
74,2022-02-10 22:43:13,9.1
75,2022-02-10 22:42:12,10.3
76,2022-02-10 22:41:10,10.5
77,2022-02-10 22:40:09,10.5
78,2022-02-10 22:39:07,10.5
79,2022-02-10 22:38:06,11.5
80,2022-02-10 22:37:05,11.8
81,2022-02-10 22:36:03,11.7
82,2022-02-10 22:35:02,11.7
83,2022-02-10 22:34:00,10.3
84,2022-02-10 22:32:59,10.4
85,2022-02-10 22:31:57,9.1
86,2022-02-10 22:30:56,9.1
87,2022-02-10 22:29:55,9.0
88,2022-02-10 22:28:53,12.5
89,2022-02-10 22:27:52,11.2
90,2022-02-10 22:26:50,11.2
91,2022-02-10 22:25:49,11.3
92,2022-02-10 22:24:48,12.5
93,2022-02-10 22:23:46,11.3
94,2022-02-10 22:22:45,11.2
95,2022-02-10 22:21:43,11.2
96,2022-02-10 22:20:42,12.3
97,2022-02-10 22:19:40,12.4
98,2022-02-10 22:18:37,12.4
99,2022-02-10 22:17:35,12.4
100,2022-02-10 22:16:34,12.5
101,2022-02-10 22:15:32,11.3
102,2022-02-10 22:14:31,11.4
103,2022-02-10 22:13:29,12.6
104,2022-02-10 22:12:28,13.7
105,2022-02-10 22:11:27,12.5
106,2022-02-10 22:10:25,12.5
107,2022-02-10 22:09:24,12.4
108,2022-02-10 22:08:22,12.5
109,2022-02-10 22:07:21,11.4
110,2022-02-10 22:06:20,12.1
111,2022-02-10 22:05:18,12.1
