,time,activep
0,2022-01-24 23:59:00,8.8
1,2022-01-24 23:57:59,8.7
2,2022-01-24 23:56:57,8.7
3,2022-01-24 23:55:56,8.7
4,2022-01-24 23:54:54,8.8
5,2022-01-24 23:53:53,9.4
6,2022-01-24 23:52:51,9.4
7,2022-01-24 23:51:50,8.3
8,2022-01-24 23:50:49,7.4
9,2022-01-24 23:49:47,7.4
10,2022-01-24 23:48:46,10.5
11,2022-01-24 23:47:44,11.2
12,2022-01-24 23:46:43,9.6
13,2022-01-24 23:45:42,8.9
14,2022-01-24 23:44:40,8.8
15,2022-01-24 23:43:39,8.6
16,2022-01-24 23:42:37,8.7
17,2022-01-24 23:41:36,8.8
18,2022-01-24 23:40:34,9.6
19,2022-01-24 23:39:33,9.6
20,2022-01-24 23:38:32,10.1
21,2022-01-24 23:37:30,10.1
22,2022-01-24 23:36:29,10.0
23,2022-01-24 23:35:27,8.7
24,2022-01-24 23:34:26,8.7
25,2022-01-24 23:33:25,10.0
26,2022-01-24 23:32:23,12.8
27,2022-01-24 23:31:22,12.8
28,2022-01-24 23:30:20,13.4
29,2022-01-24 23:29:19,12.0
30,2022-01-24 23:28:17,15.3
31,2022-01-24 23:27:16,15.3
32,2022-01-24 23:26:15,15.4
33,2022-01-24 23:25:13,17.3
34,2022-01-24 23:24:12,17.3
35,2022-01-24 23:23:10,17.9
36,2022-01-24 23:22:09,18.2
37,2022-01-24 23:21:08,17.8
38,2022-01-24 23:20:06,17.8
39,2022-01-24 23:19:05,16.5
40,2022-01-24 23:18:03,15.2
41,2022-01-24 23:17:02,16.1
42,2022-01-24 23:16:00,16.1
43,2022-01-24 23:14:59,16.3
44,2022-01-24 23:13:58,15.7
45,2022-01-24 23:12:56,15.9
46,2022-01-24 23:11:55,15.2
47,2022-01-24 23:10:53,15.1
48,2022-01-24 23:09:52,14.8
49,2022-01-24 23:08:51,14.9
50,2022-01-24 23:07:49,15.8
51,2022-01-24 23:06:48,18.3
52,2022-01-24 23:05:46,18.4
