date,cycle_number,valley_chg,peak_dhg,flat_chg,peak2_dhg
10/17/20,366,226,195,226,195
10/18/20,368,228,190,215,114
10/19/20,370,189,189,226,194
10/20/20,372,226,195,226,195
10/21/20,374,225,194,226,195
10/22/20,376,226,194,227,195
10/23/20,378,226,193,226,194
10/24/20,380,227,194,226,196
10/25/20,382,227,194,225,147
10/26/20,384,225,194,226,196
10/27/20,386,226,194,226,195
10/28/20,388,226,194,226,196
10/29/20,390,226,194,225,195
10/30/20,392,226,194,226,194
10/31/20,394,226,195,225,195
11/1/20,396,225,194,226,126
11/2/20,398,212,183,213,194
11/3/20,400,226,195,225,196
11/4/20,402,227,194,226,194
11/5/20,404,226,195,226,196
11/6/20,406,227,194,225,195
11/7/20,408,227,194,226,194
11/8/20,410,226,191,217,191
11/9/20,412,228,196,225,195
11/10/20,414,227,196,225,194
11/11/20,416,226,193,220,191
11/12/20,418,226,195,227,194
11/13/20,420,226,195,226,194
11/14/20,422,226,194,226,195
11/15/20,424,227,193,225,195
11/16/20,426,227,195,225,195
11/17/20,428,226,194,225,195
11/18/20,430,226,193,225,194
11/19/20,432,227,193,225,195
11/20/20,434,227,194,225,195
11/21/20,436,227,194,224,195
11/22/20,438,226,193,226,195
11/23/20,440,227,195,226,195
11/24/20,442,226,195,225,195
11/25/20,444,227,194,225,194
11/26/20,446,227,194,225,195
11/27/20,448,225,194,226,194
11/28/20,450,226,193,225,195
11/29/20,452,226,154,177,157
11/30/20,454,227,194,224,195
12/1/20,456,226,193,225,194
12/2/20,458,226,194,225,194
12/3/20,460,226,193,224,195
12/4/20,462,225,192,223,195
12/5/20,464,226,193,224,194
12/6/20,466,226,193,225,195
12/7/20,468,227,193,225,195
12/8/20,470,226,194,225,195
12/9/20,472,226,194,225,195
12/10/20,474,226,194,224,195
12/11/20,476,225,193,225,195
12/12/20,478,227,193,225,195
12/13/20,480,226,194,224,195
12/14/20,482,227,193,223,193
12/15/20,484,227,189,218,192
12/16/20,486,227,193,224,194
12/17/20,488,227,192,224,195
12/18/20,490,227,193,225,195
12/19/20,492,226,192,224,193
12/20/20,494,228,176,203,159
12/21/20,496,228,194,224,194
12/22/20,498,227,192,224,195
12/23/20,500,227,194,224,195
12/24/20,502,225,195,225,194
12/25/20,504,226,193,225,194
12/26/20,506,227,194,225,195
12/27/20,508,226,194,225,194
12/28/20,510,227,193,225,195
12/29/20,512,227,194,224,194
12/30/20,514,227,191,222,190
1/6/21,516,226,101,115,190
1/7/21,518,228,192,222,191
1/8/21,520,229,107,118,184
1/9/21,522,228,192,223,193
1/10/21,524,228,192,223,194
1/11/21,526,228,193,223,194
1/12/21,528,227,189,220,187
1/13/21,530,231,190,171,149
1/14/21,532,226,189,227,192
1/15/21,534,231,191,230,192
1/16/21,536,231,190,228,192
1/17/21,538,231,191,229,0
1/19/21,538,231,0,1,0
1/20/21,540,1,188,194,166
1/21/21,542,190,159,186,156
1/22/21,544,188,156,194,160
1/23/21,546,184,152,215,183
1/26/21,548,189,156,203,171
