,time,activep
0,2022-02-26 23:59:58,5.7
1,2022-02-26 23:58:57,6.0
2,2022-02-26 23:57:53,8.1
3,2022-02-26 23:56:51,8.1
4,2022-02-26 23:55:50,8.1
5,2022-02-26 23:54:49,8.1
6,2022-02-26 23:53:47,8.1
7,2022-02-26 23:52:46,8.1
8,2022-02-26 23:51:44,8.1
9,2022-02-26 23:50:43,8.1
10,2022-02-26 23:49:42,8.1
11,2022-02-26 23:48:40,8.1
12,2022-02-26 23:47:39,9.4
13,2022-02-26 23:46:37,9.2
14,2022-02-26 23:45:36,9.4
15,2022-02-26 23:44:34,9.4
16,2022-02-26 23:43:33,9.3
17,2022-02-26 23:42:32,9.2
18,2022-02-26 23:41:30,9.4
19,2022-02-26 23:40:29,9.3
20,2022-02-26 23:39:27,9.1
21,2022-02-26 23:38:26,9.2
22,2022-02-26 23:37:25,9.7
23,2022-02-26 23:36:23,10.5
24,2022-02-26 23:35:22,8.6
25,2022-02-26 23:34:20,8.8
26,2022-02-26 23:33:19,8.8
27,2022-02-26 23:32:17,9.4
28,2022-02-26 23:31:16,9.3
29,2022-02-26 23:30:15,9.4
30,2022-02-26 23:29:13,9.6
31,2022-02-26 23:28:09,9.6
32,2022-02-26 23:27:08,9.3
33,2022-02-26 23:26:06,9.3
34,2022-02-26 23:25:05,9.4
35,2022-02-26 23:24:04,12.4
36,2022-02-26 23:23:02,11.0
37,2022-02-26 23:22:01,11.4
38,2022-02-26 23:20:59,11.4
39,2022-02-26 23:19:58,12.4
40,2022-02-26 23:18:57,13.4
41,2022-02-26 23:17:55,11.7
42,2022-02-26 23:16:54,11.5
43,2022-02-26 23:15:52,11.5
44,2022-02-26 23:14:51,11.7
45,2022-02-26 23:13:49,12.5
46,2022-02-26 23:12:48,11.4
47,2022-02-26 23:11:47,10.4
48,2022-02-26 23:10:45,10.5
49,2022-02-26 23:09:44,10.5
50,2022-02-26 23:08:42,11.8
51,2022-02-26 23:07:41,11.7
52,2022-02-26 23:06:40,11.5
53,2022-02-26 23:05:38,11.8
54,2022-02-26 23:04:37,11.7
55,2022-02-26 23:03:35,11.4
56,2022-02-26 23:02:34,11.7
57,2022-02-26 23:01:32,11.8
58,2022-02-26 23:00:31,11.6
59,2022-02-26 22:59:30,11.7
60,2022-02-26 22:58:26,8.6
61,2022-02-26 22:57:24,8.2
62,2022-02-26 22:56:23,6.1
63,2022-02-26 22:55:21,6.2
64,2022-02-26 22:54:20,6.3
65,2022-02-26 22:53:19,5.9
66,2022-02-26 22:52:17,6.1
67,2022-02-26 22:51:16,6.4
68,2022-02-26 22:50:14,6.3
69,2022-02-26 22:49:13,8.2
70,2022-02-26 22:48:12,8.4
71,2022-02-26 22:47:10,7.6
72,2022-02-26 22:46:09,7.6
73,2022-02-26 22:45:07,7.8
74,2022-02-26 22:44:06,7.8
75,2022-02-26 22:43:05,7.7
76,2022-02-26 22:42:03,7.9
77,2022-02-26 22:41:02,7.9
78,2022-02-26 22:40:00,7.9
79,2022-02-26 22:38:59,7.5
80,2022-02-26 22:37:57,7.7
81,2022-02-26 22:36:56,7.6
82,2022-02-26 22:35:55,7.7
83,2022-02-26 22:34:53,7.8
84,2022-02-26 22:33:52,7.9
85,2022-02-26 22:32:50,7.6
86,2022-02-26 22:31:49,7.9
87,2022-02-26 22:30:48,7.8
88,2022-02-26 22:29:46,7.9
89,2022-02-26 22:28:45,7.6
90,2022-02-26 22:27:43,7.8
91,2022-02-26 22:26:42,8.0
92,2022-02-26 22:25:41,7.9
93,2022-02-26 22:24:39,7.9
94,2022-02-26 22:23:38,8.0
95,2022-02-26 22:22:36,7.8
96,2022-02-26 22:21:35,7.8
97,2022-02-26 22:20:33,8.0
98,2022-02-26 22:19:32,7.8
99,2022-02-26 22:18:31,7.8
100,2022-02-26 22:17:29,8.0
101,2022-02-26 22:16:28,8.1
102,2022-02-26 22:15:26,7.7
103,2022-02-26 22:14:25,7.9
104,2022-02-26 22:13:24,8.2
105,2022-02-26 22:12:22,7.7
106,2022-02-26 22:11:21,7.9
107,2022-02-26 22:10:19,7.9
108,2022-02-26 22:09:18,7.9
109,2022-02-26 22:08:16,7.7
110,2022-02-26 22:07:15,7.9
111,2022-02-26 22:06:14,7.6
112,2022-02-26 22:05:12,7.7
113,2022-02-26 22:04:11,7.9
114,2022-02-26 22:03:09,7.7
115,2022-02-26 22:02:08,7.8
116,2022-02-26 22:01:07,8.1
117,2022-02-26 22:00:05,8.4
118,2022-02-26 21:59:04,8.3
119,2022-02-26 21:58:02,7.8
120,2022-02-26 21:57:01,8.1
121,2022-02-26 21:55:59,7.5
122,2022-02-26 21:54:58,7.7
123,2022-02-26 21:53:57,7.8
124,2022-02-26 21:52:55,7.5
125,2022-02-26 21:51:54,7.7
126,2022-02-26 21:50:52,7.9
127,2022-02-26 21:49:51,7.6
128,2022-02-26 21:48:50,7.7
129,2022-02-26 21:47:48,7.9
130,2022-02-26 21:46:47,7.8
131,2022-02-26 21:45:45,7.6
132,2022-02-26 21:44:44,7.6
133,2022-02-26 21:43:43,7.6
134,2022-02-26 21:42:41,7.6
135,2022-02-26 21:41:40,7.6
136,2022-02-26 21:40:38,7.6
137,2022-02-26 21:39:37,7.6
138,2022-02-26 21:38:35,7.6
139,2022-02-26 21:37:32,7.8
140,2022-02-26 21:36:30,7.5
141,2022-02-26 21:35:29,7.5
142,2022-02-26 21:34:27,7.6
143,2022-02-26 21:33:26,7.8
144,2022-02-26 21:32:24,7.5
145,2022-02-26 21:31:23,7.7
146,2022-02-26 21:30:22,7.6
147,2022-02-26 21:29:20,7.5
148,2022-02-26 21:28:19,7.6
149,2022-02-26 21:27:17,7.5
150,2022-02-26 21:26:16,7.2
151,2022-02-26 21:25:15,7.0
152,2022-02-26 21:24:13,7.2
153,2022-02-26 21:23:12,7.3
154,2022-02-26 21:22:10,6.9
155,2022-02-26 21:21:09,7.3
156,2022-02-26 21:20:07,8.9
157,2022-02-26 21:19:06,8.9
158,2022-02-26 21:18:05,9.0
159,2022-02-26 21:17:03,7.6
160,2022-02-26 21:16:02,7.3
161,2022-02-26 21:15:00,9.6
162,2022-02-26 21:13:59,11.8
