,time,activep
0,2022-01-24 23:59:54,7.5
1,2022-01-24 23:58:52,9.3
2,2022-01-24 23:57:51,9.2
3,2022-01-24 23:56:49,9.2
4,2022-01-24 23:55:48,9.2
5,2022-01-24 23:54:46,9.2
6,2022-01-24 23:53:45,9.9
7,2022-01-24 23:52:44,10.0
8,2022-01-24 23:51:42,7.9
9,2022-01-24 23:50:41,7.9
10,2022-01-24 23:49:39,7.9
11,2022-01-24 23:48:38,10.9
12,2022-01-24 23:47:37,11.7
13,2022-01-24 23:46:35,10.1
14,2022-01-24 23:45:34,9.3
15,2022-01-24 23:44:32,9.3
16,2022-01-24 23:43:31,9.1
17,2022-01-24 23:42:30,9.2
18,2022-01-24 23:41:28,9.2
19,2022-01-24 23:40:27,10.1
20,2022-01-24 23:39:25,10.1
21,2022-01-24 23:38:24,10.8
22,2022-01-24 23:37:22,10.6
23,2022-01-24 23:36:21,10.4
24,2022-01-24 23:35:20,9.2
25,2022-01-24 23:34:18,9.2
26,2022-01-24 23:33:17,10.4
27,2022-01-24 23:32:15,13.3
28,2022-01-24 23:31:14,13.3
29,2022-01-24 23:30:13,12.6
30,2022-01-24 23:29:11,12.5
31,2022-01-24 23:28:10,15.7
32,2022-01-24 23:27:08,15.8
33,2022-01-24 23:26:07,17.8
34,2022-01-24 23:25:05,17.9
35,2022-01-24 23:24:04,17.9
36,2022-01-24 23:23:03,18.4
37,2022-01-24 23:22:01,18.9
38,2022-01-24 23:21:00,18.3
39,2022-01-24 23:19:58,18.3
40,2022-01-24 23:18:57,15.6
41,2022-01-24 23:17:56,15.7
42,2022-01-24 23:16:54,16.7
43,2022-01-24 23:15:53,16.6
44,2022-01-24 23:14:51,16.8
45,2022-01-24 23:13:50,16.2
46,2022-01-24 23:12:48,16.4
47,2022-01-24 23:11:47,15.6
48,2022-01-24 23:10:46,15.6
49,2022-01-24 23:09:44,15.4
50,2022-01-24 23:08:43,15.4
51,2022-01-24 23:07:41,16.3
52,2022-01-24 23:06:40,18.8
53,2022-01-24 23:05:39,18.9
54,2022-01-24 23:04:37,18.9
55,2022-01-24 23:03:36,18.8
56,2022-01-24 23:02:34,18.8
57,2022-01-24 23:01:33,18.8
